"src","doi","yr","pmcid"
"PMC","10.1093/database/bat039",2013,"PMC3681332"
"PMC","10.1371/journal.pgen.1003553",2013,"PMC3681672"
"PMC","10.1186/1758-907X-4-2",2013,"PMC3682869"
"PMC","10.1371/journal.pone.0066566",2013,"PMC3684587"
"PMC","10.1371/journal.pone.0066539",2013,"PMC3688795"
"PMC","10.1371/journal.pone.0067769",2013,"PMC3689727"
"PMC","10.1371/journal.pone.0066506",2013,"PMC3689815"
"PMC","10.1007/s00792-013-0543-7",2013,"PMC3691474"
"PMC","10.1186/1471-2105-14-193",2013,"PMC3691734"
"PMC","10.1093/nar/gkt417",2013,"PMC3692076"
"PMC","10.1093/nar/gkt400",2013,"PMC3692131"
"PMC","10.1093/bioinformatics/btt193",2013,"PMC3694634"
"PMC","10.1093/nar/gkt339",2013,"PMC3695505"
"PMC","10.1186/1471-2105-14-202",2013,"PMC3695837"
"PMC","10.1371/journal.pone.0066811",2013,"PMC3700997"
"PMC","10.1371/journal.pone.0065774",2013,"PMC3701018"
"PMC","10.1186/1471-2164-14-419",2013,"PMC3701559"
"PMC","10.1371/journal.pone.0068910",2013,"PMC3701683"
"PMC","10.1186/1471-2202-14-S1-P22",2013,"PMC3704619"
"PMC","10.1186/1471-2202-14-S1-P363",2013,"PMC3704837"
"PMC","10.1093/database/bat016",2013,"PMC3708683"
"PMC","10.1371/journal.pcbi.1003098",2013,"PMC3708888"
"PMC","10.1371/journal.pone.0068095",2013,"PMC3709915"
"PMC","10.1093/bioinformatics/btt294",2013,"PMC3712214"
"PMC","10.1371/4fd1286980c08",2012,"PMC3712476"
"PMC","10.1111/nph.12243",2013,"PMC3712477"
"PMC","10.1038/srep02216",2013,"PMC3713530"
"PMC","10.1186/2191-219X-3-53",2013,"PMC3717018"
"PMC","10.1002/pmic.201200514",2013,"PMC3717177"
"PMC","10.3389/fnhum.2013.00376",2013,"PMC3719031"
"PMC","10.1371/journal.pone.0070412",2013,"PMC3722188"
"PMC","10.1371/journal.ppat.1003503",2013,"PMC3723570"
"PMC","10.1371/journal.pone.0069172",2013,"PMC3723803"
"PMC","10.1093/database/bat056",2013,"PMC3724366"
"PMC","10.1371/journal.pone.0069189",2013,"PMC3726723"
"PMC","10.7717/peerj.113",2013,"PMC3728768"
"PMC","10.1371/journal.pone.0070460",2013,"PMC3729949"
"PMC","10.1098/rsif.2013.0414",2013,"PMC3730691"
"PMC","10.1371/journal.pone.0070266",2013,"PMC3731356"
"PMC","10.5210/ojphi.v5i2.4363",2013,"PMC3733759"
"PMC","10.1093/sysbio/syt028",2013,"PMC3739881"
"PMC","10.1093/bioinformatics/btt342",2013,"PMC3740624"
"PMC","10.1371/journal.pone.0070568",2013,"PMC3741196"
"PMC","10.1371/journal.pone.0071820",2013,"PMC3741199"
"PMC","10.2196/resprot.2675",2013,"PMC3742411"
"PMC","10.7554/eLife.00861",2013,"PMC3743134"
"PMC","10.1371/journal.pone.0070495",2013,"PMC3743829"
"PMC","10.1371/journal.pone.0070899",2013,"PMC3744550"
"PMC","10.1155/2013/731969",2013,"PMC3747450"
"PMC","10.1371/journal.pone.0071715",2013,"PMC3748125"
"PMC","10.1186/2041-9139-4-16",2013,"PMC3748831"
"PMC","10.1186/1471-2164-14-537",2013,"PMC3751351"
"PMC","10.1371/journal.pone.0071952",2013,"PMC3756073"
"PMC","10.1093/gbe/evt100",2013,"PMC3762192"
"PMC","10.1371/journal.pone.0073056",2013,"PMC3762846"
"PMC","10.1371/journal.pone.0072363",2013,"PMC3762866"
"PMC","10.1186/1471-2164-14-571",2013,"PMC3765493"
"PMC","10.3389/fnins.2013.00162",2013,"PMC3766821"
"PMC","10.1371/journal.pone.0073079",2013,"PMC3767688"
"PMC","10.1371/journal.pone.0074329",2013,"PMC3772858"
"PMC","10.1371/journal.pone.0073550",2013,"PMC3777947"
"PMC","10.1007/s00424-013-1286-0",2013,"PMC3778897"
"PMC","10.1371/journal.pone.0076197",2013,"PMC3782451"
"PMC","10.1371/journal.pone.0072970",2013,"PMC3783454"
"PMC","10.1371/journal.pcbi.1003223",2013,"PMC3784503"
"PMC","10.1371/journal.pone.0075505",2013,"PMC3785575"
"PMC","10.1038/srep02652",2013,"PMC3788369"
"PMC","10.1371/journal.pgen.1003770",2013,"PMC3789883"
"PMC","10.1371/journal.pone.0077147",2013,"PMC3792039"
"PMC","10.1093/database/bat070",2013,"PMC3792339"
"PMC","10.1038/nn.3502",2014,"PMC3793847"
"PMC","10.1371/journal.pone.0075890",2013,"PMC3794021"
"PMC","10.1371/journal.pcbi.1003243",2013,"PMC3794914"
"PMC","10.1371/journal.pone.0076459",2013,"PMC3794977"
"PMC","10.1371/journal.ppat.1003670",2013,"PMC3795001"
"PMC","10.1371/journal.pone.0075747",2013,"PMC3795723"
"PMC","10.1371/journal.pone.0075542",2013,"PMC3795737"
"PMC","10.1371/journal.pone.0075792",2013,"PMC3797047"
"PMC","10.1371/journal.pone.0077517",2013,"PMC3797738"
"PMC","10.1186/2041-1480-4-S1-S5",2013,"PMC3804025"
"PMC","10.1371/journal.pone.0076044",2013,"PMC3804532"
"PMC","10.1371/journal.pbio.1001691",2013,"PMC3805469"
"PMC","10.1371/journal.pone.0076096",2013,"PMC3810253"
"PMC","10.1093/bioinformatics/btt514",2013,"PMC3810857"
"PMC","10.1371/journal.pone.0078168",2013,"PMC3812139"
"PMC","10.1371/journal.pone.0077563",2013,"PMC3812262"
"PMC","10.1371/journal.pone.0076935",2013,"PMC3813700"
"PMC","10.1128/genomeA.00893-13",2013,"PMC3814635"
"PMC","10.2196/ijmr.2480",2013,"PMC3815431"
"PMC","10.7554/eLife.01202",2013,"PMC3816614"
"PMC","10.1371/journal.pone.0078009",2013,"PMC3817173"
"PMC","10.7717/peerj.190",2013,"PMC3817598"
"PMC","10.1038/nbt.2675",2014,"PMC3818127"
"PMC","10.1038/nbt.2676",2014,"PMC3819121"
"PMC","10.1371/journal.pone.0077885",2014,"PMC3819321"
"PMC","10.3389/fgene.2013.00216",2013,"PMC3819525"
"PMC","10.1371/journal.pone.0077518",2013,"PMC3820684"
"PMC","10.1371/journal.pgen.1003942",2013,"PMC3820794"
"PMC","10.1007/s12021-013-9199-9",2013,"PMC3824210"
"PMC","10.1371/journal.pone.0079935",2013,"PMC3827447"
"PMC","10.1371/journal.pcbi.1003326",2013,"PMC3828144"
"PMC","10.1371/journal.pntd.0002557",2013,"PMC3828162"
"PMC","10.7717/peerj.211",2013,"PMC3828621"
"PMC","10.1186/1755-8794-6-48",2013,"PMC3829211"
"PMC","10.7554/eLife.01345",2013,"PMC3831942"
